code_commune,population,voix
85062,968.0,
58300,1839.0,
70137,218.0,
51649,13174.0,
78638,4749.0,
63089,1595.0,
57235,1113.0,
66026,1205.0,
27420,170.0,
42150,1235.0,
15088,505.0,
14541,106.0,
47066,812.0,
60032,753.0,
39478,10346.0,
73005,174.0,
50478,406.0,
25612,698.0,
70007,315.0,
12303,253.0,
59668,1766.0,
35287,2287.0,
40134,2682.0,
24075,289.0,
11319,68.0,
41112,252.0,
89059,748.0,
32233,1252.0,
21348,107.0,
09014,191.0,
43201,245.0,
30320,160.0,
76319,9937.0,
80549,682.0,
57014,386.0,
14066,2358.0,
37171,1149.0,
47068,1078.0,
81125,298.0,
65217,54.0,
62577,93.0,
27407,267.0,
27188,1296.0,
67310,1165.0,
55362,174.0,
10325,3750.0,
45214,249.0,
07126,1120.0,
08491,3343.0,
38474,11705.0,
11269,2277.0,
35155,657.0,
57072,634.0,
22254,1149.0,
31141,258.0,
55574,56.0,
71242,535.0,
80269,127.0,
57486,127.0,
63461,343.0,
54460,176.0,
43241,1239.0,
54128,712.0,
67095,1648.0,
42225,3897.0,
57002,74.0,
65013,58.0,
27033,328.0,
52156,443.0,
55514,621.0,
67460,1578.0,
44031,825.0,
55099,123.0,
62624,5269.0,
27667,396.0,
64161,879.0,
23021,844.0,
59588,6952.0,
02460,211.0,
36175,311.0,
39203,106.0,
82118,112.0,
64360,213.0,
46003,722.0,
973353,10477.0,
23064,688.0,
76524,129.0,
64474,153.0,
77295,1314.0,
64490,523.0,
26345,2023.0,
76210,522.0,
01408,694.0,
40054,276.0,
16031,387.0,
95301,301.0,
51264,539.0,
25627,259.0,
74190,658.0,
60317,679.0,
58055,825.0,
38174,1101.0,
28039,1536.0,
11178,1173.0,
60121,165.0,
68007,2217.0,
02063,382.0,
72334,2357.0,
14403,758.0,
78402,3626.0,
39141,283.0,
62112,517.0,
67558,783.0,
16095,144.0,
31540,247.0,
57287,2343.0,
80442,1121.0,
41121,30.0,
80236,542.0,
23202,242.0,
55556,52.0,
62573,3787.0,
38406,138.0,
74238,1278.0,
60648,351.0,
87105,911.0,
86217,327.0,
21055,21.0,
09292,38.0,
59627,992.0,
88224,382.0,
52128,125.0,
30341,11195.0,
57471,286.0,
43262,1236.0,
34126,2586.0,
50174,186.0,
27323,271.0,
84039,5489.0,
26133,168.0,
23232,222.0,
31465,14.0,
14042,871.0,
33174,1171.0,
80469,183.0,
24242,236.0,
16244,2453.0,
68336,494.0,
80458,457.0,
41236,106.0,
18119,205.0,
31351,4554.0,
90045,797.0,
32419,112.0,
43022,276.0,
55013,489.0,
15016,609.0,
21428,156.0,
62735,2163.0,
56083,15765.0,
04069,120.0,
38550,62.0,
45097,1167.0,
54584,1109.0,
76481,5797.0,
88394,47.0,
14714,766.0,
57402,134.0,
14483,190.0,
31369,35.0,
31134,71.0,
83122,252.0,
52090,113.0,
68374,7606.0,
40161,107.0,
37001,1127.0,
33104,4153.0,
22377,773.0,
