code_commune,population
85062,1134.0
58300,1742.0
70137,225.0
51649,11454.0
78638,5083.0
63089,1617.0
57235,1020.0
66026,1581.0
27420,164.0
42150,1322.0
15088,513.0
14541,110.0
47066,844.0
60032,713.0
39478,8727.0
73005,206.0
50478,419.0
25612,675.0
70007,306.0
12303,252.0
59668,1580.0
35287,2525.0
40134,2839.0
24075,324.0
11319,74.0
41112,245.0
89059,699.0
32233,1206.0
21348,102.0
09014,192.0
43201,247.0
30320,165.0
76319,9726.0
80549,639.0
57014,369.0
14066,2388.0
37171,1125.0
47068,1088.0
81125,314.0
65217,58.0
62577,75.0
27407,318.0
27188,1524.0
67310,1139.0
55362,183.0
10325,4749.0
45214,238.0
07126,1195.0
08491,3540.0
38474,11660.0
11269,2554.0
35155,682.0
57072,622.0
22254,1103.0
31141,219.0
55574,41.0
71242,512.0
80269,109.0
57486,116.0
63461,365.0
54460,155.0
43241,1283.0
54128,706.0
67095,1592.0
42225,3843.0
57002,65.0
65013,57.0
27033,307.0
52156,407.0
55514,588.0
67460,1759.0
44031,807.0
55099,123.0
62624,5906.0
27667,401.0
64161,1013.0
23021,764.0
59588,8384.0
02460,205.0
36175,275.0
39203,106.0
82118,94.0
64360,201.0
46003,691.0
973353,9177.0
23064,650.0
76524,143.0
64474,158.0
77295,1371.0
64490,546.0
26345,2096.0
76210,450.0
01408,656.0
40054,267.0
16031,411.0
95301,290.0
51264,503.0
25627,296.0
74190,669.0
60317,727.0
58055,743.0
38174,1092.0
28039,1682.0
11178,1271.0
60121,159.0
68007,2195.0
02063,380.0
72334,2195.0
14403,744.0
78402,3826.0
39141,281.0
62112,523.0
67558,725.0
16095,127.0
31540,334.0
57287,2237.0
80442,1139.0
41121,32.0
80236,557.0
23202,226.0
55556,49.0
62573,3717.0
38406,160.0
74238,1596.0
60648,319.0
87105,890.0
86217,277.0
21055,14.0
09292,53.0
59627,1006.0
88224,380.0
52128,149.0
30341,11774.0
57471,297.0
43262,1219.0
34126,2454.0
50174,194.0
27323,290.0
84039,6064.0
26133,177.0
23232,211.0
31465,20.0
14042,1055.0
33174,1120.0
80469,156.0
24242,260.0
16244,2289.0
68336,445.0
80458,451.0
41236,88.0
18119,205.0
31351,5680.0
90045,739.0
32419,107.0
43022,268.0
55013,464.0
15016,620.0
21428,153.0
62735,2577.0
56083,15746.0
04069,119.0
38550,65.0
45097,1222.0
54584,1015.0
76481,6122.0
88394,48.0
14714,779.0
57402,118.0
14483,194.0
31369,31.0
